Publisher Name,Publisher Registry Id,Version (with valid data),Reporting-Org (with valid data),Iati-identifier (with valid data),Participating Organisation (with valid data),Title (with valid data),Description (with valid data),Status (with valid data),Activity Date (with valid data),Sector (with valid data),Country or Region (with valid data),Average (with valid data),Version (with any data),Reporting-Org (with any data),Iati-identifier (with any data),Participating Organisation (with any data),Title (with any data),Description (with any data),Status (with any data),Activity Date (with any data),Sector (with any data),Country or Region (with any data),Average (with any data)
Integrity Action,integrity_action,100,100,100,21,100,100,100,100,96,100,92,100,100,100,100,100,100,100,100,96,100,100
Integrity Research and Consultancy Ltd,integrity,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Inter-American Development Bank,iadb,100,100,100,100,100,100,100,92,100,100,99,100,100,100,100,100,100,100,100,100,100,100
Interact Worldwide,iww_publish,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
InterAction,interaction,100,100,100,75,100,100,100,100,100,50,93,100,100,100,100,100,100,100,100,100,50,95
InterAction's NGO Aid Map,ia_nam,100,100,100,35,100,100,100,100,87,99,92,100,100,100,100,100,100,100,100,100,100,100
interburns,interburns,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
InterClimate Network,icn,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Alert,international-alert,100,100,0,100,0,0,100,0,100,0,50,100,100,0,100,0,0,100,100,100,0,60
International Bureau of Fiscal Documentation (IBFD),ibfd,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Center for Not-for-Profit Law,icnl_org,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Centre of Insect Physiology and Ecology (icipe),icipe,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Child Development Initiatives,icdi,100,100,100,17,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
International Climate Initiative / BMU - IKI Secretariat,bmu_iki,100,100,100,100,100,100,100,0,100,100,90,100,100,100,100,100,100,100,100,100,100,100
International Committee of the Red Cross (ICRC),icrc,100,100,100,76,100,87,76,100,58,96,89,100,100,100,76,100,87,76,100,99,96,93
International Development Law Organization (IDLO),idlo,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Federation of Accountants,ifac,100,100,100,100,100,100,100,100,25,100,93,100,100,100,100,100,100,100,100,100,100,100
International Federation of the Red Cross and Red Crescent (IFRC),ifrcrcs,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
International Fertilizer Development Center,ifdc-us,100,100,100,67,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
International Finance Corporation,ifcwbg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Fund for Agricultural Development (IFAD),ifad,100,100,100,100,100,100,100,90,0,100,89,100,100,100,100,100,100,100,100,0,100,90
International IDEA,idea,100,100,99,1,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
International Indigenous Women Forum,fimi_iiwf_2019,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
International Initiative for Impact Evaluation,3ie,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
International Labour Organization (ILO),ilo,100,100,100,100,100,78,100,100,100,100,98,100,100,100,100,100,78,100,100,100,100,98
International Media Support,ims,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Medical Corps UK,imc_uk,100,100,100,40,100,100,100,100,100,100,94,100,100,100,100,100,100,100,100,100,100,100
International Monetary Fund,imf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Network for Bamboo and Rattan (INBAR),inbar,100,100,100,0,100,100,100,100,100,93,89,100,100,100,100,100,100,100,100,100,93,99
International Network for the Availability of Scientific Publications,inasp,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
International Network of People who Use Drugs (INPUD),inpud_admin,100,100,80,0,100,100,100,100,100,80,86,100,100,100,100,100,100,100,100,100,80,98
International NGO Safety Orgnisation,inso,100,100,100,50,100,100,100,100,100,75,93,100,100,100,100,100,100,100,100,100,75,98
International Organization for Migration (IOM),iom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Planned Parenthood Federation,ippf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Procurement Agency,ipa,100,100,100,100,100,100,100,100,88,100,99,100,100,100,100,100,100,100,100,88,100,99
International Rescue Committee UK,irc_uk,100,100,100,100,100,100,100,0,75,100,88,100,100,100,100,100,100,100,100,100,100,100
International Service,unais,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Trade Centre (ITC),itc,100,100,100,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Treatment Preparedness Coalition (ITPC),itpc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
International Union for Conservation of Nature and Natural Resources,iucn,100,100,100,100,100,100,100,100,100,83,98,100,100,100,100,100,100,100,100,100,83,98
International Women's Development Agency,iwda,100,100,83,0,100,100,100,100,0,100,78,100,100,100,100,100,100,100,100,100,100,100
Internews Europe,ieu,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
Interpeace,interpeace,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IntraHealth International,intrahealth,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IOD PARC,iodparc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
iPartner India,ip-india,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Ipas,ipas,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
IPE Global Limited,ipeglobal,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Iraq Foundation,iraq_foundation,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IRC,irc,100,100,11,100,100,100,100,100,100,94,91,100,100,100,100,100,100,100,100,100,94,99
Ireland - Department of Foreign Affairs and Trade,irishaid,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IREX (International Research and Exchange Board),suhanajjar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Iringa Development of Youth, Disabled and Children Care",idydc,100,100,100,100,100,100,100,100,100,0,90,100,100,100,100,100,100,100,100,100,100,100
Irise International,irise_int,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Irrawaddy Policy Exchange,ipe,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Islamic Relief Worldwide,irw,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Itad,itad,100,100,100,17,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
ITECO - Centre de formation pour le développement,iteco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IUCN Nederlands Comité,iucn_nl,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,97,100,100,100,100,100
Japan International Cooperation Agency (JICA),jica,100,100,100,100,70,20,100,0,100,100,79,100,100,100,100,70,20,100,100,100,100,89
Jeevika Trust,jeevika_trust,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Johns Hopkins University,gi-jhu,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Joshua Orphan and Community Care,jocc_uk,100,100,100,100,100,100,100,100,0,100,90,100,100,100,100,100,100,100,100,100,100,100
Just Associates,jass,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Kadaster International,kad,100,33,33,0,33,33,100,33,100,67,53,100,33,100,100,33,33,100,100,100,100,80
Karuna Mission Social Solidarity - KMSS,kmss,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Karuna Trust,karuna,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Kepa ry,kepa,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Kesho Kenya,kesho_kenya,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
King Salman Humanitarian Aid and Relief Centre,ksrelief291,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Kisumu Medical and Education Trust,kmet,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
KIYO,kiyo,100,100,100,91,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,111111_publisher,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Koninklijk Nederlands Meteorologisch Instituut,knmi,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
KPMG East Africa,kpmgea,100,100,100,75,100,100,100,75,100,75,93,100,100,100,100,100,100,100,100,100,100,100
KPMG LLP,kpmgllp,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
KwaAfrica,kwaafrica,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
LAMB Health Care Foundation,lhcf,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Landell Mills,landell-mills,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Le Monde selon les femmes asbl,mondefemmes,100,100,100,56,100,100,100,100,100,78,93,100,100,100,100,100,100,100,100,100,100,100
LEAD International,lead_international,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Learning for Life,learningforlife,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Leonard Cheshire Disability,lcd_admin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Lepra,lepra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Light For The World Belgium,lftw-be,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
LIGHT FOR THE WORLD The Netherlands,lftwnl,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Link Community Development International,lcdi_admin,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Link Community Development Scotland,lcds,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Lithuania, Ministry of Foreign Affairs",lithuania_mfa,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Lively Minds,livelyminds,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Liverpool School of Tropical Medicine,lstm,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Living Earth Foundation,livingearth12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
living peace institute,lpi,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
LIWA programme trust,liwa-admin,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Local Development and Small Projects Support,ldsps,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Louvain Coopération,lc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
LTS International Limited,lts,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
MADE in Europe,mie-1134415,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
MAG,mag,100,100,100,14,100,100,100,100,100,100,91,100,100,100,100,100,100,100,100,100,100,100
Magariro,magariro,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Mainline,mainline,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Malaria Consortium,malariaconsortium,100,100,100,38,100,100,100,100,100,100,94,100,100,100,100,100,100,100,100,100,100,100
Mama Cash,mamac,100,100,100,16,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
MAMTA - Health Institute for Mother and Child,mamta_himc,100,100,100,0,100,100,100,100,100,100,90,100,100,100,0,100,100,100,100,100,100,90
MannionDaniels,manniondaniels,100,100,100,4,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Manx Times,manxtimes,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
MapAction,mapaction,100,100,100,33,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,100
Marie Stopes International,msi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
marysmeals,marysmeals,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Mastercard Foundation,mastercard-foundation,100,100,100,0,100,100,100,100,93,100,89,100,100,100,100,100,100,100,100,100,100,100
Max Foundation,max-foundation,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Maxwell Stamp PLC,mstamp,100,100,100,100,100,100,100,100,75,100,98,100,100,100,100,100,100,100,100,100,100,100
McKinsey & Company,mck,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
MDF Global,mdf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Medair,medair,100,100,0,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Medecins du Monde Belgique - Dokters van de Wereld Belgïe,medecins,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Medecins du Monde France,mdm-fr,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
"Medical Research Centre (MRC), Sierra Leone",mrc-sierra-leone,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Memisa,memisa,100,100,100,22,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
Meningitis Research Foundation,mrf,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Mensen met een Missie,mm1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mercy Corps Europe,mce,100,100,100,85,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
Mercy Corps Global,mcg,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Mercy Corps Netherlands,mcn,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
MICAIA,mic-uk,100,100,100,0,100,100,100,100,0,100,80,100,100,100,100,100,100,100,100,0,100,90
Micro Insurance Academy,mia_india,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
MicroLoan Foundation,mlf,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Miel Maya Honing asbl,mmha,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
Mifumi UK,mifumi_uk,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Milieudefensie,foenl,100,100,100,100,100,100,100,100,93,100,99,100,100,100,100,100,100,100,100,100,100,100
Millennium Challenge Corporation,millenniumchallenge,100,100,100,100,100,100,100,100,60,99,96,100,100,100,100,100,100,100,100,60,99,96
Ministry of Foreign Affairs of  Japan,mofa-jpn,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ministry of Foreign and European Affairs of the Slovak Republic,slovakaid,100,100,100,0,100,100,100,100,100,84,88,100,100,100,100,100,100,100,100,100,84,98
Ministère de l'Economie et des Finances du Bénin,mefbenin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mission Øst,missioneast,100,100,100,100,100,0,100,100,0,0,70,100,100,100,100,100,0,100,100,0,0,70
Mondiaal FNV,mondiaalfnv,100,100,7,57,100,100,100,100,100,100,86,100,100,100,100,100,100,100,100,100,100,100
mothers2mothers,m2m_sa,100,100,100,100,100,100,100,100,0,0,80,100,100,100,100,100,100,100,100,0,100,90
Motivation,motivation,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mott MacDonald Limited,mml,100,100,100,100,100,100,100,100,0,100,90,100,100,100,100,100,100,100,100,100,100,100
Mukisa Foundation,mukisa_foundation,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mulanje Mission Hospital,mmh,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Multilateral Investment Fund,fomin,100,100,100,100,100,100,100,91,100,100,99,100,100,100,100,100,100,100,100,100,100,100
Musalaha Ministry of Reconciliation,mmr_admin2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Muslim Aid,muslimaid,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
MVO Nederland,mvo_nederland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mzumbe University,m_u,100,100,100,33,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,100
Médecins Sans Vacances,msv,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Namati, Inc",namati_inc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nathan Associates London Ltd.,nathan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
National Coalition of Human Rights Defenders - Kenya,nchrdk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Natural Resource Governance Institute (NRGI),nrgi,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
"Natural Resources Institute, University of Greenwich.",nri,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Near East Foundation (NEF USA),nef_usa,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Nepal Disabled Human Rights Center,dhrc_nepal,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Netherlands - Ministry of Foreign Affairs,minbuza_nl,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Netherlands Commission for Environmental Assessment,ncea,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Netherlands Enterprise Agency,rvo,100,100,100,24,100,100,100,33,52,95,80,100,100,100,81,100,100,100,100,67,95,94
Netherlands Institute for Multiparty Democracy (NIMD),nimd-hq,100,100,100,6,100,100,100,100,97,75,88,100,100,100,100,100,100,100,100,100,91,99
Netherlands Leprosy Relief,nlr,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Netherlands Red Cross,nlrc,100,100,100,84,100,100,100,100,97,99,98,100,100,100,100,100,100,100,100,97,99,100
Network for Africa,network4africa,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Network For Enterprise Enhancement and Development Support,needs,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Network of International Development Organisations in Scotland,nidos,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,mfat,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
NGO Federation of Nepal,nfn,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Ngo-federatie (Vlaamse federatie van ngo's voor ontwikkelingssamenwerking),ngo-federatie,100,100,100,33,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,100
Niger Delta Stakeholders Initiative for Community Development and Empowerment,ndsicde,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
NKHOMA MISSION HOSPITAL,nmhiati,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Norad - Norwegian Agency for Development Cooperation,norad,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Northern Network for Education Development,nned,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Northern Rangelands Trust,nrt-kenya,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Norwegian People's Aid,npa,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Norwegian Refugee Council,nrc,100,100,100,93,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
"NpM, Platform for Inclusive Finance",npm,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nuffic,nuffic20171017,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
OCHA Country Based Pooled Funds,unocha-cbpf,100,100,100,100,100,100,76,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
ODI Sales Limited,odi_sales_ltd,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Omidyar Network Fund Inc.,omidyarnetwork,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
One Acre Fund,oneacrefund,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
One to One Children's Fund,onetoonecf,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
ONG ALCRER,alcrer-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
openmindedly,openmindedly,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
OpenNorth,opennorth,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Opportunity International UK,opportunity-international-uk,100,100,100,67,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
Options Consultancy Services,options,100,100,100,80,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
Orbis Africa,orbis_africa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Orbis Charitable Trust,orbis_uk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Orbis Ethiopia,orbis_ethiopia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Orbis International,orbis_international,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Overseas Development Institute,odi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Oxfam America,oxfamus,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Oxfam GB,oxfamgb,100,100,100,100,100,100,100,100,100,0,90,100,100,100,100,100,100,100,100,100,100,100
Oxfam IBIS,ibis_denmark,100,100,100,88,100,100,100,100,100,88,98,100,100,100,100,100,100,100,100,100,88,99
Oxfam India,oxfamindia,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Oxfam Intermón,oxfamintermon,100,100,100,91,100,100,100,100,0,100,89,100,100,100,100,100,100,100,100,0,100,90
Oxfam Novib,onl,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Oxfam Solidarité-Solidariteit,oxsol,100,100,100,15,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
Oxfam Wereldwinkels,oww,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Oxfam-Magasins du monde (omdm),omdm,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Oxford Policy Management,opml,100,100,100,91,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
Pact,pact,100,100,100,0,100,0,100,100,100,100,80,100,100,100,100,100,0,100,100,100,100,90
Palladium International Ltd (UK),palladium,100,100,18,100,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
Palliative Care Association of Malawi,pacam,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Palliative Care Support Trust,pcst,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Panos Institute West Africa (PIWA),ipao,100,100,100,50,100,100,100,100,100,75,93,100,100,100,100,100,100,100,100,100,75,98
partos,partos_nl,100,78,78,11,78,78,100,78,100,100,80,100,78,100,100,78,78,100,100,100,100,93
Pastoralist Girls Initiative,pgi_kenya,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PATH,_path_,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
PAX,pax,100,100,100,94,100,100,100,100,83,62,94,100,100,100,100,100,100,100,100,85,79,96
PEAS (Promoting Equality in African Schools),peas,100,50,50,50,50,50,100,50,100,50,65,100,50,100,100,50,50,100,100,100,100,85
Penal Reform International,pri,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
People In Aid,peopleinaid,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
People in Need,pin,100,100,100,100,100,100,100,100,65,100,97,100,100,100,100,100,100,100,100,69,100,97
PHASE Nepal,phase-nepal,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
PHASE Worldwide,phase_worldwide,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Plan International Belgium,pib,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Plan International Finland,planinternationalfinland,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Plan International Netherlands,plannlno,100,100,100,100,100,100,100,100,100,76,98,100,100,100,100,100,100,100,100,100,79,98
Plan International UK,plan_uk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Plan International USA,plan_usa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Plan Ireland Charitable Assistance Limited,plan_ireland,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
PlanBørnefonden,plb,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Plataforma Moçambicana da Água (PLAMA),plama,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
PONT,pont,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Pontis Foundation,pontis,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
